Reference, Structure, Fingerprint, Rotation #
pose1, pose2, 0.717948717948718, 
pose1, pose3, 0.6829268292682927, 
pose1, pose4, 0.8421052631578947, 
pose1, pose5, 0.8571428571428571, 
pose1, pose6, 0.6875, 
pose1, pose7, 0.5128205128205128, 
pose1, pose8, 0.65, 
pose2, pose3, 0.7894736842105263, 
pose2, pose4, 0.6285714285714286, 
pose2, pose5, 0.717948717948718, 
pose2, pose6, 0.6896551724137931, 
pose2, pose7, 0.7222222222222222, 
pose2, pose8, 0.918918918918919, 
pose3, pose4, 0.6486486486486487, 
pose3, pose5, 0.5853658536585366, 
pose3, pose6, 0.7096774193548387, 
pose3, pose7, 0.7368421052631579, 
pose3, pose8, 0.7692307692307693, 
pose4, pose5, 0.7368421052631579, 
pose4, pose6, 0.7857142857142857, 
pose4, pose7, 0.5142857142857142, 
pose4, pose8, 0.6111111111111112, 
pose5, pose6, 0.625, 
pose5, pose7, 0.5128205128205128, 
pose5, pose8, 0.65, 
pose6, pose7, 0.6206896551724138, 
pose6, pose8, 0.6666666666666666, 
pose7, pose8, 0.7027027027027027, 
