Reference, Structure, Fingerprint, Rotation #
pose1, pose2, 0.7777777777777778, 
pose1, pose3, 0.6666666666666666, 
pose1, pose4, 0.7777777777777778, 
pose1, pose5, 0.7, 
pose1, pose6, 0.8571428571428571, 
pose1, pose7, 0.8235294117647058, 
pose1, pose8, 0.8235294117647058, 
pose1, pose9, 0.6666666666666666, 
pose2, pose3, 0.7, 
pose2, pose4, 0.7, 
pose2, pose5, 0.8181818181818182, 
pose2, pose6, 0.75, 
pose2, pose7, 0.8421052631578947, 
pose2, pose8, 0.7368421052631579, 
pose2, pose9, 0.7, 
pose3, pose4, 0.9, 
pose3, pose5, 0.6363636363636364, 
pose3, pose6, 0.75, 
pose3, pose7, 0.7368421052631579, 
pose3, pose8, 0.631578947368421, 
pose3, pose9, 0.8, 
pose4, pose5, 0.6363636363636364, 
pose4, pose6, 0.75, 
pose4, pose7, 0.7368421052631579, 
pose4, pose8, 0.631578947368421, 
pose4, pose9, 0.8, 
pose5, pose6, 0.6666666666666666, 
pose5, pose7, 0.8571428571428571, 
pose5, pose8, 0.8571428571428571, 
pose5, pose9, 0.6363636363636364, 
pose6, pose7, 0.8, 
pose6, pose8, 0.8, 
pose6, pose9, 0.75, 
pose7, pose8, 0.8888888888888888, 
pose7, pose9, 0.7368421052631579, 
pose8, pose9, 0.631578947368421, 
