Reference, Structure, Fingerprint, Rotation #
pose1, pose3, 0.7692307692307693, 
pose1, pose4, 0.7142857142857143, 
pose1, pose5, 0.6666666666666666, 
pose1, pose8, 0.5384615384615384, 
pose1, pose9, 0.7407407407407407, 
pose2, pose6, 0.5, 
pose2, pose7, 0.5, 
pose3, pose4, 0.5833333333333334, 
pose3, pose5, 0.8695652173913043, 
pose3, pose8, 0.7272727272727273, 
pose3, pose9, 0.9565217391304348, 
pose4, pose8, 0.5, 
pose4, pose9, 0.56, 
pose5, pose8, 0.782608695652174, 
pose5, pose9, 0.9166666666666666, 
pose6, pose7, 0.75, 
pose8, pose9, 0.6956521739130435, 
