Reference, Structure, Fingerprint, Rotation #
vina_output_ligand_9, vina_output_ligand_8, 0.6, 
vina_output_ligand_9, vina_output_ligand_7, 0.75, 
vina_output_ligand_9, vina_output_ligand_6, 0.8571428571428571, 
vina_output_ligand_9, vina_output_ligand_5, 0.631578947368421, 
vina_output_ligand_9, vina_output_ligand_4, 0.8571428571428571, 
vina_output_ligand_9, vina_output_ligand_3, 0.6666666666666666, 
vina_output_ligand_9, vina_output_ligand_2, 0.6666666666666666, 
vina_output_ligand_9, vina_output_ligand_1, 0.6, 
vina_output_ligand_8, vina_output_ligand_7, 0.5833333333333334, 
vina_output_ligand_8, vina_output_ligand_6, 0.7272727272727273, 
vina_output_ligand_8, vina_output_ligand_5, 0.8888888888888888, 
vina_output_ligand_8, vina_output_ligand_4, 0.5454545454545454, 
vina_output_ligand_8, vina_output_ligand_3, 0.8461538461538461, 
vina_output_ligand_8, vina_output_ligand_2, 0.9230769230769231, 
vina_output_ligand_8, vina_output_ligand_1, 1.0, 
vina_output_ligand_7, vina_output_ligand_6, 0.7777777777777778, 
vina_output_ligand_7, vina_output_ligand_5, 0.6956521739130435, 
vina_output_ligand_7, vina_output_ligand_4, 0.7777777777777778, 
vina_output_ligand_7, vina_output_ligand_3, 0.6363636363636364, 
vina_output_ligand_7, vina_output_ligand_2, 0.6363636363636364, 
vina_output_ligand_7, vina_output_ligand_1, 0.5833333333333334, 
vina_output_ligand_6, vina_output_ligand_5, 0.7619047619047619, 
vina_output_ligand_6, vina_output_ligand_4, 0.75, 
vina_output_ligand_6, vina_output_ligand_3, 0.8, 
vina_output_ligand_6, vina_output_ligand_2, 0.8, 
vina_output_ligand_6, vina_output_ligand_1, 0.7272727272727273, 
vina_output_ligand_5, vina_output_ligand_4, 0.6666666666666666, 
vina_output_ligand_5, vina_output_ligand_3, 0.88, 
vina_output_ligand_5, vina_output_ligand_2, 0.96, 
vina_output_ligand_5, vina_output_ligand_1, 0.8888888888888888, 
vina_output_ligand_4, vina_output_ligand_3, 0.6, 
vina_output_ligand_4, vina_output_ligand_2, 0.6, 
vina_output_ligand_4, vina_output_ligand_1, 0.5454545454545454, 
vina_output_ligand_3, vina_output_ligand_2, 0.9166666666666666, 
vina_output_ligand_3, vina_output_ligand_1, 0.8461538461538461, 
vina_output_ligand_2, vina_output_ligand_1, 0.9230769230769231, 
