Reference, Structure, RMS, Rotation #
pose9, pose8, 5.244142825162653e-23, 0
pose9, pose7, 5.244142825162653e-23, 0
pose9, pose6, 5.244142825162653e-23, 0
pose9, pose5, 5.244142825162653e-23, 0
pose9, pose4, 5.244142825162653e-23, 0
pose9, pose3, 5.244142825162653e-23, 0
pose9, pose2, 5.244142825162653e-23, 0
pose9, pose1, 5.244142825162653e-23, 0
pose8, pose7, 5.244142825162653e-23, 0
pose8, pose6, 5.244142825162653e-23, 0
pose8, pose5, 5.244142825162653e-23, 0
pose8, pose4, 5.244142825162653e-23, 0
pose8, pose3, 5.244142825162653e-23, 0
pose8, pose2, 5.244142825162653e-23, 0
pose8, pose1, 5.244142825162653e-23, 0
pose7, pose6, 5.244142825162653e-23, 0
pose7, pose5, 5.244142825162653e-23, 0
pose7, pose4, 5.244142825162653e-23, 0
pose7, pose3, 5.244142825162653e-23, 0
pose7, pose2, 5.244142825162653e-23, 0
pose7, pose1, 5.244142825162653e-23, 0
pose6, pose5, 5.244142825162653e-23, 0
pose6, pose4, 5.244142825162653e-23, 0
pose6, pose3, 5.244142825162653e-23, 0
pose6, pose2, 5.244142825162653e-23, 0
pose6, pose1, 5.244142825162653e-23, 0
pose5, pose4, 5.244142825162653e-23, 0
pose5, pose3, 5.244142825162653e-23, 0
pose5, pose2, 5.244142825162653e-23, 0
pose5, pose1, 5.244142825162653e-23, 0
pose4, pose3, 5.244142825162653e-23, 0
pose4, pose2, 5.244142825162653e-23, 0
pose4, pose1, 5.244142825162653e-23, 0
pose3, pose2, 5.244142825162653e-23, 0
pose3, pose1, 5.244142825162653e-23, 0
pose2, pose1, 5.244142825162653e-23, 0
