Reference, Structure, RMS, Rotation #
pose9, pose8, 1.7440544366836548, 0
pose9, pose5, 1.838280200958252, 0
pose9, pose4, 1.699049472808838, 0
pose9, pose3, 1.5533770322799683, 0
pose8, pose5, 1.382063388824463, 0
pose8, pose4, 0.5421308875083923, 0
pose8, pose3, 1.5881402492523193, 0
pose8, pose1, 1.3287123441696167, 0
pose7, pose2, 1.9569330215454102, 0
pose5, pose4, 1.285186529159546, 0
pose5, pose3, 1.893060326576233, 0
pose5, pose1, 1.7458345890045166, 0
pose4, pose3, 1.5601447820663452, 0
pose4, pose1, 1.2819679975509644, 0
pose3, pose1, 1.6294817924499512, 0
pose2, pose1, 1.8305712938308716, 0
