Reference, Structure, Fingerprint, Rotation #
vina_ligand_9, vina_ligand_8, 0.5467128027681661, 
vina_ligand_9, vina_ligand_7, 0.53156146179402, 
vina_ligand_9, vina_ligand_6, 0.5100671140939598, 
vina_ligand_9, vina_ligand_5, 0.9423076923076923, 
vina_ligand_9, vina_ligand_4, 0.9152542372881356, 
vina_ligand_9, vina_ligand_3, 0.9235668789808917, 
vina_ligand_9, vina_ligand_2, 0.8093645484949833, 
vina_ligand_9, vina_ligand_1, 0.9320388349514563, 
vina_ligand_8, vina_ligand_7, 0.9241379310344827, 
vina_ligand_8, vina_ligand_6, 0.8989547038327527, 
vina_ligand_8, vina_ligand_5, 0.5249169435215947, 
vina_ligand_8, vina_ligand_4, 0.5704225352112676, 
vina_ligand_8, vina_ligand_3, 0.5346534653465347, 
vina_ligand_8, vina_ligand_2, 0.5902777777777778, 
vina_ligand_8, vina_ligand_1, 0.5167785234899329, 
vina_ligand_7, vina_ligand_6, 0.9163879598662207, 
vina_ligand_7, vina_ligand_5, 0.5047923322683706, 
vina_ligand_7, vina_ligand_4, 0.5540540540540541, 
vina_ligand_7, vina_ligand_3, 0.5206349206349207, 
vina_ligand_7, vina_ligand_2, 0.5733333333333334, 
vina_ligand_7, vina_ligand_1, 0.5032258064516129, 
vina_ligand_6, vina_ligand_4, 0.5324232081911263, 
vina_ligand_6, vina_ligand_3, 0.5, 
vina_ligand_6, vina_ligand_2, 0.5656565656565656, 
vina_ligand_5, vina_ligand_4, 0.8859934853420195, 
vina_ligand_5, vina_ligand_3, 0.950920245398773, 
vina_ligand_5, vina_ligand_2, 0.7845659163987139, 
vina_ligand_5, vina_ligand_1, 0.9595015576323987, 
vina_ligand_4, vina_ligand_3, 0.8867313915857605, 
vina_ligand_4, vina_ligand_2, 0.8775510204081632, 
vina_ligand_4, vina_ligand_1, 0.9013157894736842, 
vina_ligand_3, vina_ligand_2, 0.8178913738019169, 
vina_ligand_3, vina_ligand_1, 0.9535603715170279, 
vina_ligand_2, vina_ligand_1, 0.7922077922077922, 
