Reference, Structure, Fingerprint, Rotation #
vina9, vina8, 0.8, 
vina9, vina7, 0.5555555555555556, 
vina9, vina6, 0.5882352941176471, 
vina9, vina5, 0.625, 
vina9, vina4, 0.631578947368421, 
vina9, vina3, 0.625, 
vina9, vina2, 0.7619047619047619, 
vina9, vina1, 0.7619047619047619, 
vina8, vina7, 0.6666666666666666, 
vina8, vina6, 0.7142857142857143, 
vina8, vina5, 0.7692307692307693, 
vina8, vina4, 0.75, 
vina8, vina3, 0.7692307692307693, 
vina8, vina2, 0.5555555555555556, 
vina8, vina1, 0.6666666666666666, 
vina7, vina6, 0.8235294117647058, 
vina7, vina5, 0.875, 
vina7, vina4, 0.7368421052631579, 
vina7, vina3, 0.875, 
vina7, vina1, 0.5714285714285714, 
vina6, vina5, 0.9333333333333333, 
vina6, vina4, 0.7777777777777778, 
vina6, vina3, 0.9333333333333333, 
vina6, vina1, 0.5, 
vina5, vina4, 0.8235294117647058, 
vina5, vina3, 1.0, 
vina5, vina1, 0.5263157894736842, 
vina4, vina3, 0.8235294117647058, 
vina4, vina1, 0.5454545454545454, 
vina3, vina1, 0.5263157894736842, 
vina2, vina1, 0.5833333333333334, 
