Reference, Structure, Fingerprint, Rotation #
pose9, pose8, 0.7368421052631579, 
pose9, pose7, 0.9090909090909091, 
pose9, pose6, 0.8780487804878049, 
pose9, pose5, 0.7428571428571429, 
pose9, pose4, 0.8108108108108109, 
pose9, pose2, 0.5405405405405406, 
pose9, pose1, 0.7142857142857143, 
pose8, pose7, 0.8, 
pose8, pose6, 0.6511627906976745, 
pose8, pose5, 0.8648648648648649, 
pose8, pose4, 0.7692307692307693, 
pose8, pose2, 0.6153846153846154, 
pose8, pose1, 0.7272727272727273, 
pose7, pose6, 0.7894736842105263, 
pose7, pose5, 0.8125, 
pose7, pose4, 0.8823529411764706, 
pose7, pose2, 0.5882352941176471, 
pose7, pose1, 0.7692307692307693, 
pose6, pose5, 0.65, 
pose6, pose4, 0.7619047619047619, 
pose6, pose1, 0.6382978723404256, 
pose5, pose4, 0.7777777777777778, 
pose5, pose2, 0.6666666666666666, 
pose5, pose1, 0.7317073170731707, 
pose4, pose2, 0.5789473684210527, 
pose4, pose1, 0.6976744186046512, 
pose2, pose1, 0.5116279069767442, 
