Reference, Structure, Fingerprint, Rotation #
vina_ligand_9, vina_ligand_5, 0.7804298499266358, 
vina_ligand_9, vina_ligand_4, 0.5149517781253525, 
vina_ligand_9, vina_ligand_3, 0.7514059672458219, 
vina_ligand_9, vina_ligand_1, 0.5733125417273165, 
vina_ligand_8, vina_ligand_7, 0.7829626243834706, 
vina_ligand_5, vina_ligand_4, 0.5123810318172183, 
vina_ligand_5, vina_ligand_3, 0.7622554600181648, 
vina_ligand_5, vina_ligand_1, 0.5497273102855632, 
vina_ligand_4, vina_ligand_3, 0.5288043037941333, 
vina_ligand_4, vina_ligand_2, 0.8399323954252802, 
vina_ligand_4, vina_ligand_1, 0.6817133839991067, 
vina_ligand_3, vina_ligand_1, 0.5806783407995177, 
vina_ligand_2, vina_ligand_1, 0.6810950634412051, 
