Fingerprint values
 ,crystal.pdb, pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
crystal.pdb, 1.0, 1.0, 0.8181818181818182, 0.75, 0.5263157894736842, 0.4888888888888889, 0.7857142857142857, 0.6885245901639344, 0.7441860465116279, 0.625, 
pose1.pdb, 1.0, 1.0, 0.8181818181818182, 0.75, 0.5263157894736842, 0.4888888888888889, 0.7857142857142857, 0.6885245901639344, 0.7441860465116279, 0.625, 
pose2.pdb, 0.8181818181818182, 0.8181818181818182, 1.0, 0.7037037037037037, 0.4727272727272727, 0.5581395348837209, 0.7037037037037037, 0.6440677966101694, 0.7804878048780488, 0.5652173913043478, 
pose3.pdb, 0.75, 0.75, 0.7037037037037037, 1.0, 0.5671641791044776, 0.509090909090909, 0.7272727272727273, 0.704225352112676, 0.6037735849056604, 0.5862068965517241, 
pose4.pdb, 0.5263157894736842, 0.5263157894736842, 0.4727272727272727, 0.5671641791044776, 1.0, 0.25, 0.6865671641791045, 0.75, 0.3333333333333333, 0.7457627118644068, 
pose5.pdb, 0.4888888888888889, 0.4888888888888889, 0.5581395348837209, 0.509090909090909, 0.25, 1.0, 0.509090909090909, 0.43333333333333335, 0.7142857142857143, 0.3829787234042553, 
pose6.pdb, 0.7857142857142857, 0.7857142857142857, 0.7037037037037037, 0.7272727272727273, 0.6865671641791045, 0.509090909090909, 1.0, 0.7887323943661971, 0.6037735849056604, 0.7241379310344828, 
pose7.pdb, 0.6885245901639344, 0.6885245901639344, 0.6440677966101694, 0.704225352112676, 0.75, 0.43333333333333335, 0.7887323943661971, 1.0, 0.5517241379310345, 0.6666666666666666, 
pose8.pdb, 0.7441860465116279, 0.7441860465116279, 0.7804878048780488, 0.6037735849056604, 0.3333333333333333, 0.7142857142857143, 0.6037735849056604, 0.5517241379310345, 1.0, 0.4, 
pose9.pdb, 0.625, 0.625, 0.5652173913043478, 0.5862068965517241, 0.7457627118644068, 0.3829787234042553, 0.7241379310344828, 0.6666666666666666, 0.4, 1.0, 
