Reference, Structure, Fingerprint, Rotation #
pose9, pose6, 0.566564362134366, 
pose9, pose4, 0.5438555823675637, 
pose9, pose1, 0.5259670575541033, 
pose9, crystal, 0.5259670575541033, 
pose8, pose5, 0.5384615384615384, 
pose6, pose4, 0.6899145570080353, 
pose6, pose3, 0.5159574468085106, 
pose6, pose1, 0.6571330541686154, 
pose6, crystal, 0.6571330541686154, 
pose4, pose1, 0.5396397980435563, 
pose4, crystal, 0.5396397980435563, 
pose3, pose1, 0.6532985591933973, 
pose3, crystal, 0.6532985591933973, 
pose1, crystal, 1.0, 
