Reference, Structure, Fingerprint, Rotation #
pose9, pose7, 0.6666666666666666, 
pose9, pose6, 0.7241379310344828, 
pose9, pose4, 0.7457627118644068, 
pose9, pose3, 0.5862068965517241, 
pose9, pose2, 0.5652173913043478, 
pose9, pose1, 0.625, 
pose8, pose7, 0.5517241379310345, 
pose8, pose6, 0.6037735849056604, 
pose8, pose5, 0.7142857142857143, 
pose8, pose3, 0.6037735849056604, 
pose8, pose2, 0.7804878048780488, 
pose8, pose1, 0.7441860465116279, 
pose7, pose6, 0.7887323943661971, 
pose7, pose4, 0.75, 
pose7, pose3, 0.704225352112676, 
pose7, pose2, 0.6440677966101694, 
pose7, pose1, 0.6885245901639344, 
pose6, pose5, 0.509090909090909, 
pose6, pose4, 0.6865671641791045, 
pose6, pose3, 0.7272727272727273, 
pose6, pose2, 0.7037037037037037, 
pose6, pose1, 0.7857142857142857, 
pose5, pose3, 0.509090909090909, 
pose5, pose2, 0.5581395348837209, 
pose4, pose3, 0.5671641791044776, 
pose4, pose1, 0.5263157894736842, 
pose3, pose2, 0.7037037037037037, 
pose3, pose1, 0.75, 
pose2, pose1, 0.8181818181818182, 
