Reference, Structure, Fingerprint, Rotation #
1fx9_09, 1fx9_07, 0.6666666666666666, 
1fx9_09, 1fx9_06, 0.7241379310344828, 
1fx9_09, 1fx9_04, 0.7333333333333333, 
1fx9_09, 1fx9_03, 0.5862068965517241, 
1fx9_09, 1fx9_02, 0.5652173913043478, 
1fx9_09, 1fx9_01, 0.625, 
1fx9_08, 1fx9_07, 0.5517241379310345, 
1fx9_08, 1fx9_06, 0.6037735849056604, 
1fx9_08, 1fx9_05, 0.7142857142857143, 
1fx9_08, 1fx9_03, 0.6037735849056604, 
1fx9_08, 1fx9_02, 0.7804878048780488, 
1fx9_08, 1fx9_01, 0.7441860465116279, 
1fx9_07, 1fx9_06, 0.7887323943661971, 
1fx9_07, 1fx9_04, 0.7397260273972602, 
1fx9_07, 1fx9_03, 0.704225352112676, 
1fx9_07, 1fx9_02, 0.6440677966101694, 
1fx9_07, 1fx9_01, 0.6885245901639344, 
1fx9_06, 1fx9_05, 0.509090909090909, 
1fx9_06, 1fx9_04, 0.7058823529411765, 
1fx9_06, 1fx9_03, 0.7272727272727273, 
1fx9_06, 1fx9_02, 0.7037037037037037, 
1fx9_06, 1fx9_01, 0.7857142857142857, 
1fx9_05, 1fx9_03, 0.509090909090909, 
1fx9_05, 1fx9_02, 0.5581395348837209, 
1fx9_04, 1fx9_03, 0.5588235294117647, 
1fx9_04, 1fx9_01, 0.5517241379310345, 
1fx9_03, 1fx9_02, 0.7037037037037037, 
1fx9_03, 1fx9_01, 0.75, 
1fx9_02, 1fx9_01, 0.8181818181818182, 
