Reference, Structure, Fingerprint, Rotation #
pose9, pose8, 0.6, 
pose9, pose7, 0.75, 
pose9, pose6, 0.8571428571428571, 
pose9, pose5, 0.631578947368421, 
pose9, pose4, 0.9230769230769231, 
pose9, pose3, 0.6666666666666666, 
pose9, pose2, 0.6666666666666666, 
pose9, pose1, 0.6, 
pose8, pose7, 0.5833333333333334, 
pose8, pose6, 0.7272727272727273, 
pose8, pose5, 0.8888888888888888, 
pose8, pose4, 0.5714285714285714, 
pose8, pose3, 0.8461538461538461, 
pose8, pose2, 0.9230769230769231, 
pose8, pose1, 1.0, 
pose7, pose6, 0.7777777777777778, 
pose7, pose5, 0.6956521739130435, 
pose7, pose4, 0.8235294117647058, 
pose7, pose3, 0.6363636363636364, 
pose7, pose2, 0.6363636363636364, 
pose7, pose1, 0.5833333333333334, 
pose6, pose5, 0.7619047619047619, 
pose6, pose4, 0.8, 
pose6, pose3, 0.8, 
pose6, pose2, 0.8, 
pose6, pose1, 0.7272727272727273, 
pose5, pose4, 0.7, 
pose5, pose3, 0.88, 
pose5, pose2, 0.96, 
pose5, pose1, 0.8888888888888888, 
pose4, pose3, 0.631578947368421, 
pose4, pose2, 0.631578947368421, 
pose4, pose1, 0.5714285714285714, 
pose3, pose2, 0.9166666666666666, 
pose3, pose1, 0.8461538461538461, 
pose2, pose1, 0.9230769230769231, 
