Reference, Structure, Fingerprint, Rotation #
pose9, pose8, 0.6956521739130435, 
pose9, pose5, 0.9166666666666666, 
pose9, pose4, 0.56, 
pose9, pose3, 0.9565217391304348, 
pose9, pose1, 0.7407407407407407, 
pose8, pose5, 0.782608695652174, 
pose8, pose4, 0.5, 
pose8, pose3, 0.7272727272727273, 
pose8, pose1, 0.5384615384615384, 
pose7, pose6, 0.75, 
pose7, pose2, 0.5, 
pose6, pose2, 0.5, 
pose5, pose3, 0.8695652173913043, 
pose5, pose1, 0.6666666666666666, 
pose4, pose3, 0.5833333333333334, 
pose4, pose1, 0.7142857142857143, 
pose3, pose1, 0.7692307692307693, 
