Reference, Structure, Fingerprint, Rotation #
pose9, pose8, 0.5185185185185185, 
pose9, pose7, 0.6206896551724138, 
pose9, pose5, 0.6153846153846154, 
pose9, pose4, 0.5161290322580645, 
pose9, pose2, 0.6206896551724138, 
pose8, pose7, 0.5333333333333333, 
pose8, pose5, 0.5185185185185185, 
pose8, pose4, 0.5625, 
pose8, pose3, 0.6923076923076923, 
pose8, pose2, 0.7333333333333333, 
pose8, pose1, 0.6666666666666666, 
pose7, pose2, 0.625, 
pose6, pose5, 0.5263157894736842, 
pose6, pose4, 0.5581395348837209, 
pose5, pose4, 0.6451612903225806, 
pose4, pose2, 0.5294117647058824, 
pose3, pose1, 0.56, 
