Reference, Structure, Fingerprint, Rotation #
pose8, pose7, 0.717948717948718, 
pose8, pose6, 0.6451612903225806, 
pose8, pose5, 0.6666666666666666, 
pose8, pose4, 0.5789473684210527, 
pose8, pose3, 0.7317073170731707, 
pose8, pose2, 0.918918918918919, 
pose8, pose1, 0.7272727272727273, 
pose7, pose6, 0.6, 
pose7, pose5, 0.5263157894736842, 
pose7, pose3, 0.7, 
pose7, pose2, 0.7777777777777778, 
pose7, pose1, 0.5116279069767442, 
pose6, pose5, 0.6666666666666666, 
pose6, pose4, 0.7586206896551724, 
pose6, pose3, 0.6875, 
pose6, pose2, 0.7142857142857143, 
pose6, pose1, 0.6285714285714286, 
pose5, pose4, 0.7567567567567568, 
pose5, pose3, 0.6, 
pose5, pose2, 0.7222222222222222, 
pose5, pose1, 0.7906976744186046, 
pose4, pose3, 0.6666666666666666, 
pose4, pose2, 0.6285714285714286, 
pose4, pose1, 0.7619047619047619, 
pose3, pose2, 0.7894736842105263, 
pose3, pose1, 0.6222222222222222, 
pose2, pose1, 0.6829268292682927, 
