Reference, Structure, Fingerprint, Rotation #
pose9, pose8, 0.631578947368421, 
pose9, pose7, 0.7368421052631579, 
pose9, pose6, 0.7058823529411765, 
pose9, pose5, 0.6363636363636364, 
pose9, pose4, 0.8, 
pose9, pose3, 0.8571428571428571, 
pose9, pose2, 0.7, 
pose9, pose1, 0.7368421052631579, 
pose8, pose7, 0.8888888888888888, 
pose8, pose6, 0.75, 
pose8, pose5, 0.8571428571428571, 
pose8, pose4, 0.631578947368421, 
pose8, pose3, 0.6, 
pose8, pose2, 0.7368421052631579, 
pose8, pose1, 0.7777777777777778, 
pose7, pose6, 0.75, 
pose7, pose5, 0.8571428571428571, 
pose7, pose4, 0.7368421052631579, 
pose7, pose3, 0.7, 
pose7, pose2, 0.8421052631578947, 
pose7, pose1, 0.7777777777777778, 
pose6, pose5, 0.631578947368421, 
pose6, pose4, 0.8235294117647058, 
pose6, pose3, 0.6666666666666666, 
pose6, pose2, 0.7058823529411765, 
pose6, pose1, 0.875, 
pose5, pose4, 0.6363636363636364, 
pose5, pose3, 0.6086956521739131, 
pose5, pose2, 0.8181818181818182, 
pose5, pose1, 0.6666666666666666, 
pose4, pose3, 0.8571428571428571, 
pose4, pose2, 0.7, 
pose4, pose1, 0.7368421052631579, 
pose3, pose2, 0.6666666666666666, 
pose3, pose1, 0.7, 
pose2, pose1, 0.7368421052631579, 
